MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;Diarios de Suministros;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;;-5;;-L114,791.25;;-37;;-L16,221.94;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;AGUJAS;;-30;;-L534.41;;-9;;-L2,250.00;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;;-60;;-L3,091.22;;-21;;-L824.96;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;BATERIAS;;-15;;-L100.26;;-12;;-L106.05;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;BOLIGRAFOS;;-2,000;;-L2,025.31;;-160;;-L162.02;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;CAJA CHICA;;;;;;-1;;-L91.64;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;CARTONCILLO;;;;;;-30;;-L5.53;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;CLIPS;;-48;;-L65.18;;;;;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;CORRECTORES;;;;;;-2;;-L8.39;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;DETECTORAS DE DINERO FALSO;;;;;;-1;;-L24.64;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;FASTENERS;;;;;;-1;;-L19.52;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;FOLDERS;;-1,000;;-L860.80;;-159;;-L136.88;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;HULES;;;;;;-24;;-L178.78;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;MARCADORES;;-252;;-L322.35;;-35;;-L411.49;
ENERO;0;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;NOTAS ADHESIVAS;;-24;;-L75.53;;;;;
