Sucursal;Division;Categoria;Grupo;Producto;ProdNombre;Proveedor;SALDOUNDTOTAL; Total Costo Und.
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000004;DIFUSOR DIF 4V AIR GUIDE;AIRE FRIO DE HONDURAS S. A DE C. V;6;L3,275.02
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000015;CAPACITOR 450X370 ;CIA MERCANTIL LA CASA BLANCA SRL CV;2;L360.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000017;PROTECTOR TERMICO 115V;AIRE FRIO DE HONDURAS S. A DE C. V;12;L219.14
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000020;VENTILADOR INDUSTRIAL #30;ALEJANDRO NAPOLEON LARACH LARACH;1;L4,793.33
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000032;CAPACITOR 35X370/440V;AIRE FRIO DE HONDURAS S. A DE C. V;8;L1,887.66
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000052;FILTRO SOLDABLE 3/8;FRIOPARTES S A DE C.V.;2;L313.05
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000053;REFRIGERANTE R22 30 LBS;AIRE FRIO DE HONDURAS S. A DE C. V;2;L4,930.43
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000060;CAPACITOR  80MFDx440V;FRIOPARTES S A DE C.V.;2;L165.20
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000063;CAPACITOR AMERICANO 70MFDX370/440 AMRAD;AIRE FRIO DE HONDURAS S. A DE C. V;9;L4,120.44
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000070;TAPE DUCTO 3X50 YDS FASSON;AIRE FRIO DE HONDURAS S. A DE C. V;3;L1,257.25
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000075;GALON CONCENTRADO TRIPLE D P/EVAP+;FRIOPARTES S A DE C.V.;8;L6,608.70
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000078;EXTRACTOR CENTRIFUGO 70CFM;ALEJANDRO NAPOLEON LARACH LARACH;4;L3,402.48
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000085;UNION SOLDABLE 1/2;FRIOPARTES S A DE C.V.;36;L317.79
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000092;CODO SOLDABLE DE 7X8X90;AIRE FRIO DE HONDURAS S. A DE C. V;14;L334.22
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000093;REFRIGERANTE R410A 25LBS;AIRE FRIO DE HONDURAS S. A DE C. V;1;L5,391.30
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000097;PLACA UNIVERSAL P/AIRE USAR;AIRE FRIO DE HONDURAS S. A DE C. V;4;L1,457.57
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000109;ARMAFLEX  3/8X1/2                    ;EQUIPOS Y REPUESTOS WOLOZNY S.A DE C.V.;38;L747.82
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000115;CAPACITOR 50          ;AIRE FRIO DE HONDURAS S. A DE C. V;7;L1,673.28
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000121;VENTILADOR P/PARED INDUSTRIAL CHINO 2025    ;ALMACEN EL JORDAN S DE R.L;66;L47,552.18
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000127;CINTA ADHESIVA ELECTRICA 3M AZUL        ;DISTRIBUIDORA INDUSTRIAL S.A. DE C.V.;3;L117.93
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000128;TRAMPA ACEITE 3/4                       ;AIRE FRIO DE HONDURAS S. A DE C. V;4;L746.60
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000129;TRAMPA ACEITE 3/4                 ;AIRE FRIO DE HONDURAS S. A DE C. V;11;L1,905.75
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000134;UNION SOLDABLE 3/4 ;FRIOPARTES S A DE C.V.;5;L77.13
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000147;"TRAMPAS 7/8"" DE COBRE";FRIOPARTES S A DE C.V.;6;L826.77
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000159;CAPACITOR CUADRADO 12 MFOX450V;FRIOPARTES S A DE C.V.;2;L60.88
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000160;CAPACITOR 55 MFX320V;AIRE FRIO DE HONDURAS S. A DE C. V;13;L2,471.48
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000161;CAPACITOR 60 MFX320V;AIRE FRIO DE HONDURAS S. A DE C. V;12;L2,389.97
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000164;EXTRACTOR AIRE 8'' ;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;4;L4,354.88
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000166;FILTRO  SOLDABLE 1/2;AIRE FRIO DE HONDURAS S. A DE C. V;2;L521.29
